senseval2.d000.s000.t000	1) the products of human creativity; works of art collectively.
semeval2015.d001.s051.t003	2) closely similar or comparable in kind or quality or quantity or degree.In the sentence, "same" is used to
semeval2015.d001.s052.t000	2) indicating exactness or preciseness
semeval2015.d001.s052.t001	1) put into service; make work or employ for a particular purpose or for its inherent or natural purposeThis definition best
semeval2015.d001.s052.t002	1) make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope
semeval2015.d001.s052.t003	1) a database containing an ordered array of items (names or topics).
semeval2015.d001.s052.t004	4) verb inflections that express how the action or state is conceived by the speaker.In this sentence, "mode"
semeval2015.d001.s053.t000	The most suitable dictionary definition for the meaning of "set" in the sentence "You can set each graph its own color"
semeval2015.d001.s053.t002	1) a visual attribute of things that results from the light they emit or transmit or reflect
semeval2015.d002.s000.t000	1) the basis on which something is groundedThis definition is the most suitable for the sentence, as the Foundation is providing
semeval2015.d002.s000.t002	2) engage as a participant.The sentence implies that the Foundation is taking an active role in organizing the conference, which is
semeval2015.d002.s000.t003	5) arrange by systematic planning and united effort.This definition most closely aligns with the meaning of "organising" in
semeval2015.d002.s000.t004	1) a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda).
semeval2015.d002.s000.t005	The most suitable dictionary definition which identifies the meaning of "dealt" in the given sentence is:3) take action with
semeval2015.d002.s000.t006	4) urgently needed; absolutely necessaryThis definition best captures the meaning of "critical" in the context of the sentence,
semeval2015.d002.s000.t007	1) a demanding or stimulating situation
semeval2015.d002.s001.t000	1) someone who takes part in an activity
semeval2015.d002.s001.t001	1) most important elementIn the given sentence, "main" is used to indicate the most prominent or largest group among
semeval2015.d002.s001.t003	1) be present at (meetings, church services, university), etc.
semeval2015.d002.s001.t004	3) discuss the pros and cons of an issueThe sentence suggests that the participants were engaging in a formal discussion about various
semeval2015.d002.s001.t005	3) some situation or event that is thought aboutThis definition captures the meaning of "issues" in the context of the
semeval2015.d002.s001.t008	2) a person who acts and gets things done.This definition is more suitable because in the given sentence, "actors"
semeval2015.d002.s001.t011	2) (usually plural) persons who exercise (administrative) control over others.In this sentence, "authorities"
semeval2015.d002.s001.t012	1) relating to human society and its members
semeval2015.d002.s001.t013	1) of your own free will or design; done by choice; not forced or compelled
semeval2015.d002.s001.t014	1) a group of people living in a particular local area.
semeval2015.d002.s001.t015	2) a group of people who work together.This definition is the most suitable as it describes a collection of individuals united for
semeval2015.d002.s001.t017	1) work done by one person or group that benefits another
semeval2015.d002.s001.t018	1) a person who makes use of a thing; someone who uses or employs something
semeval2015.d002.s002.t002	12) a specific state of mind that is temporary.The sentence is referring to instances or instances of attempts to involve users in
semeval2015.d002.s002.t003	2) announce as the result of an investigation or experience or finding
semeval2015.d002.s002.t004	1) earnest and conscientious activity intended to do or accomplish something.This definition best fits the context of the sentence, as
semeval2015.d002.s002.t005	2) engage as a participant.The sentence suggests that the users were included or took part in the service planning process, which
semeval2015.d002.s002.t006	1) a person who makes use of a thing; someone who uses or employs something
semeval2015.d002.s002.t007	15) the performance of duties by a waiter or servantThe sentence suggests that "service" refers to the provision of assistance
semeval2015.d002.s002.t008	1) an act of formulating a program for a definite course of action
semeval2015.d002.s002.t009	1) the act of sharing in the activities of a group.This definition best fits the context of the sentence, as it
semeval2015.d002.s002.t010	1) work done by one person or group that benefits another
semeval2015.d002.s002.t011	2) the activity of supplying or providing something.
semeval2015.d002.s002.t012	2) discover or determine the existence, presence, or fact of
semeval2015.d002.s002.t013	2) comparative of much; to a greater degree or extent.In this sentence, "more" is used to compare the
semeval2015.d002.s002.t014	2) having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual.This definition best fits
semeval2015.d002.s003.t002	5) a category of things distinguished by some common characteristic or quality.In the sentence, "variety" refers to a
semeval2015.d002.s003.t003	5) distinct or separateThis definition best captures the meaning of "different" in the sentence, which is used to describe
semeval2015.d002.s003.t005	2) act or have an effect in a specified way or with a specific effect or outcome.
semeval2015.d002.s003.t006	1) not private; open to or concerning the people as a whole
semeval2015.d002.s003.t007	2) something that aids or promotes well-being.This definition captures the idea of "welfare" as a concept that refers
semeval2015.d002.s004.t000	2) an institution supported by an endowmentIn this sentence, "Foundation" refers to an organization that is established to
semeval2015.d002.s004.t002	5) a group of representatives or delegatesThis definition best fits the context of the sentence, as the European Commission is a
semeval2015.d002.s004.t004	3) a government department under the direction of a minister
semeval2015.d002.s004.t005	1) relating to human society and its members.
semeval2015.d002.s004.t006	2) transactions of professional or public interest.In this sentence, "affairs" refers to matters of public interest, specifically
semeval2015.d002.s004.t007	2) related or limited to a particular region.This definition best captures the meaning of "regional" in the context of
semeval2015.d002.s004.t008	1) the organization that is the governing authority of a political unit
semeval2015.d002.s004.t010	1) a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda).
