senseval2.d000.s000.t000	The skillful and imaginative use of language or other media to express ideas and emotions.
semeval2015.d001.s009.t004	An object, person, or event that is being considered or talked about.
semeval2015.d001.s009.t005	To perform an action or carry out a task.
semeval2015.d001.s009.t006	To become fully aware of; to understand or comprehend fully.
semeval2015.d001.s009.t007	Data or information entered into a computer or other device for processing or manipulation.
semeval2015.d001.s009.t008	Changed or transformed from one form, function, or state into another.
semeval2015.d001.s009.t010	Required by circumstances, conditions, or nature; essential: a necessary evil.
semeval2015.d001.s009.t011	To be aware of through observation, inquiry, or study; to have knowledge of; to be familiar with.
semeval2015.d001.s010.t000	To establish the foundation or starting point of (something) on (something else).
semeval2015.d001.s010.t004	Of great difficulty; not easy to do, understand, or deal with.
semeval2015.d001.s011.t001	In close proximity or with great attention to detail.
semeval2015.d001.s011.t002	To have a particular appearance or give the impression of being a particular kind of thing.
semeval2015.d001.s011.t003	To a great extent or degree; extremely.
semeval2015.d001.s011.t004	Of a thing, having a likeness or resemblance to another in appearance, character, or quantity.
semeval2015.d001.s012.t000	The process or operation of adding one thing (such as a number, amount, or object) to another to increase the total
semeval2015.d001.s012.t001	The process or operation of taking one number or quantity away from another to calculate the difference between them.
semeval2015.d001.s012.t002	The mathematical operation of combining groups of equal size, denoted by the symbol "×" or "*", which results in the total
semeval2015.d001.s012.t003	The process or action of dividing something, especially a whole, into equal or proportional parts.
semeval2015.d001.s013.t000	The ability or capacity to do something or act in a particular way, especially as a faculty or quality: the power of persuasion
semeval2015.d001.s013.t001	To employ for some purpose; put into service: use a machine.
semeval2015.d001.s014.t001	Capable of being done, achieved, or brought about; able to occur or exist.
semeval2015.d001.s014.t002	To employ for some purpose; put into service: use a machine.
semeval2015.d001.s015.t000	In this context, "Powers" refers to abilities, capacities, or resources that enable someone to do something or act in
semeval2015.d001.s015.t001	A method, style, or manner of doing something, especially one that is characteristic or typical of a particular person, group,
semeval2015.d001.s015.t003	The part of a plant that typically lies below the surface of the soil, attaching the plant to the substrate and absorbing water and
semeval2015.d001.s015.t004	In addition; also.
semeval2015.d001.s016.t000	A method, style, or manner of doing something; a particular approach or technique.
semeval2015.d001.s016.t001	To state or identify something with exactness or accuracy.
semeval2015.d001.s016.t003	A symbol or quantity that can change or vary, especially in a mathematical expression or equation.
semeval2015.d001.s016.t004	A relation or expression involving one or more variables, especially one that gives the value of one variable in terms of the values of
semeval2015.d001.s017.t000	Function or serve (something) for a particular purpose: "a tool used for cutting"
semeval2015.d001.s017.t001	To identify something precisely or to state something clearly and in detail.
semeval2015.d001.s017.t002	Of, relating to, or being at a greater level or degree; above the usual or average level.
semeval2015.d001.s017.t003	The quality or state of being regarded or treated as more important than others.
semeval2015.d001.s018.t001	Discovers or perceives (something) by searching or looking; come upon or detect.
semeval2015.d001.s018.t002	A function is a relation or expression involving one or more variables, which yields a single value for each set of input values.
semeval2015.d001.s018.t003	To examine or inspect something carefully in order to determine its accuracy, quality, or working order.
semeval2015.d001.s018.t004	A symbol or function that performs a specific operation on one or more operands, such as addition, subtraction, multiplication, or division
semeval2015.d001.s019.t000	To deal with or regard in a specified way; consider or regard as.
semeval2015.d001.s019.t001	A person or thing that operates or controls a machine, process, or system. In computer science, a symbol or function that
semeval2015.d001.s019.t003	To deal with or regard in a specified way; consider or regard as.
semeval2015.d001.s019.t004	A person who uses or is intended to use a particular product, service, or facility.
semeval2015.d001.s019.t005	A function is a relation or expression involving one or more variables, which yields a single value for each set of input values.
semeval2015.d001.s020.t000	Employed for a particular purpose or in a particular way.
semeval2015.d001.s020.t001	To state or describe exactly the nature, scope, or meaning of (something, especially in a precise or formal way).
semeval2015.d001.s020.t002	The numerical, functional, or qualitative worth, utility, or importance of something.
semeval2015.d001.s022.t000	A method, style, or manner of doing something.
semeval2015.d001.s022.t001	To state or describe exactly the nature, scope, or meaning of (something, especially in a law, rule, or official
semeval2015.d001.s022.t002	Depending on a condition or set of conditions; subject to certain circumstances or stipulations.
semeval2015.d001.s022.t003	Actions or processes carried out according to a set of rules or principles, especially in mathematics or computing.
semeval2015.d001.s023.t000	To bring something into use or operation; to present or submit for consideration or discussion.
semeval2015.d001.s023.t002	To employ for some purpose; put into service: to use a machine.
